order,title,album,artist,release,bpm,energy,dance,loud,valence,length,acoustic,pop
64,Flashing Lights,Graduation,Kanye West,1/1/07,90,65,63,-8,51,3:58,3,66
65,Everything I Am,Graduation,Kanye West,1/1/07,80,63,59,-7,74,3:48,46,58
66,The Glory,Graduation,Kanye West,1/1/07,83,64,40,-7,64,3:33,4,56
67,Homecoming,Graduation,Kanye West,1/1/07,87,75,68,-7,91,3:23,32,64
68,Big Brother,Graduation,Kanye West,1/1/07,78,76,53,-6,30,4:48,20,53
69,Wake Up Mr. West,Late Registration,Kanye West,9/30/05,83,29,69,-10,76,0:41,81,48
70,Heard 'Em Say,Late Registration,Kanye West,9/30/05,95,70,74,-8,58,3:24,6,61
71,Touch The Sky,Late Registration,Kanye West,9/30/05,106,85,60,-5,54,3:56,2,62
72,Gold Digger,Late Registration,Kanye West,9/30/05,93,70,64,-6,68,3:28,2,74
73,Skit #1 (Kanye West/Late Registration),Late Registration,Kanye West,9/30/05,90,32,66,-13,79,0:34,53,47
74,Drive Slow,Late Registration,Kanye West,9/30/05,88,60,76,-8,47,4:32,3,56
75,My Way Home,Late Registration,Kanye West,9/30/05,87,59,59,-10,75,1:43,34,49
76,Crack Music,Late Registration,Kanye West,9/30/05,168,71,74,-6,57,4:30,1,50
77,Roses,Late Registration,Kanye West,9/30/05,97,48,57,-7,44,4:06,29,53
78,Bring Me Down,Late Registration,Kanye West,9/30/05,95,68,34,-7,40,3:19,1,48
79,Addiction,Late Registration,Kanye West,9/30/05,115,76,55,-8,52,4:27,18,52
80,Skit #2 (Kanye West/Late Registration),Late Registration,Kanye West,9/30/05,79,40,64,-12,93,0:31,35,44
81,Diamonds From Sierra Leone - Remix - Album Version (Explicit),Late Registration,Kanye West,9/30/05,97,80,66,-4,46,3:53,24,56
82,We Major,Late Registration,Kanye West,9/30/05,85,86,23,-4,22,7:28,1,51
83,Skit #3 (Kanye West/Late Registration),Late Registration,Kanye West,9/30/05,67,42,63,-12,70,0:24,55,0
84,Hey Mama,Late Registration,Kanye West,9/30/05,96,77,63,-7,39,5:05,6,58
85,Celebration,Late Registration,Kanye West,9/30/05,80,79,37,-4,38,3:18,2,49
86,Skit #4 (Kanye West/Late Registration),Late Registration,Kanye West,9/30/05,80,25,75,-20,18,1:19,4,43
87,Gone,Late Registration,Kanye West,9/30/05,93,68,85,-6,33,5:32,2,54
88,**Bonus Track** Diamonds From Sierra Leone,Late Registration,Kanye West,9/30/05,96,86,42,-3,51,3:58,15,49
89,Late,Late Registration,Kanye West,9/30/05,159,83,30,-6,60,3:50,22,49
90,Intro,The College Dropout,Kanye West,2/13/04,80,37,75,-14,32,0:19,31,2
91,We Don't Care,The College Dropout,Kanye West,2/13/04,83,74,64,-6,60,4:00,1,57
92,Graduation Day,The College Dropout,Kanye West,2/13/04,170,44,42,-9,82,1:22,68,50
93,All Falls Down,The College Dropout,Kanye West,2/13/04,91,72,64,-5,46,3:44,18,66
94,I'll Fly Away,The College Dropout,Kanye West,2/13/04,172,27,24,-11,52,1:10,72,50
95,Spaceship,The College Dropout,Kanye West,2/13/04,178,77,52,-5,65,5:24,51,57
96,Jesus Walks,The College Dropout,Kanye West,2/13/04,85,84,43,-5,72,3:14,58,62
97,Never Let Me Down,The College Dropout,Kanye West,2/13/04,81,81,47,-5,64,5:24,39,55
98,Get Em High,The College Dropout,Kanye West,2/13/04,93,65,60,-6,63,4:49,20,55
99,Workout Plan,The College Dropout,Kanye West,2/13/04,114,29,71,-14,76,0:46,84,48
100,The New Workout Plan,The College Dropout,Kanye West,2/13/04,118,77,70,-5,64,5:23,1,58
101,Slow Jamz,The College Dropout,Twista,2/13/04,145,74,57,-6,60,5:16,37,63
102,Breathe In Breathe Out,The College Dropout,Kanye West,2/13/04,83,72,53,-3,91,4:07,34,51
103,School Spirit Skit 1,The College Dropout,Kanye West,2/13/04,92,20,73,-15,64,1:19,35,46
104,School Spirit,The College Dropout,Kanye West,2/13/04,86,80,51,-5,64,3:02,29,52
105,School Spirit Skit 2,The College Dropout,Kanye West,2/13/04,94,29,74,-13,85,0:44,33,45
106,Lil Jimmy Skit,The College Dropout,Kanye West,2/13/04,127,27,60,-12,69,0:54,78,45
107,Two Words,The College Dropout,Kanye West,2/13/04,85,81,56,-5,53,4:26,2,51
108,Through The Wire,The College Dropout,Kanye West,2/13/04,83,75,55,-6,61,3:41,1,62
109,Family Business,The College Dropout,Kanye West,2/13/04,94,53,73,-7,56,4:39,16,57
110,Last Call,The College Dropout,Kanye West,2/13/04,83,73,51,-7,86,12:41,57,52
